name,year,director,writers,actors,types,regions,languages,dates,length,rating,rating_people,stars
断背山 Brokeback Mountain,(2005),李安,拉里·麦克穆特瑞/黛安娜·奥撒纳/安妮·普鲁,希斯·莱杰/杰克·吉伦哈尔/米歇尔·威廉姆斯/安妮·海瑟薇/凯特·玛拉/兰迪·奎德/琳达·卡德里尼/安娜·法瑞丝/格拉汉姆·贝克尔/斯科特·迈克尔·坎贝尔/大卫·哈伯/罗伯塔·马克斯韦尔/皮特·麦克罗比/夏恩·希尔/布鲁克琳·普劳克斯/杰克·丘奇,剧情/爱情/同性/家庭,美国/加拿大, 英语,2005-09-02(威尼斯电影节)/2006-01-06(加拿大)/2006-01-13(美国),134分钟,8.8,733634,53.8%/35.6%/9.6%/0.7%/0.3%
剪刀手爱德华 Edward Scissorhands,(1990),蒂姆·波顿,蒂姆·波顿/卡罗琳·汤普森,约翰尼·德普/薇诺娜·瑞德/黛安·韦斯特/安东尼·迈克尔·豪尔/凯西·贝克/罗伯特·奥利维里/康查塔·费雷尔/卡罗琳·阿隆/迪克·安东尼·威廉姆斯/澳澜·琼斯/文森特·普莱斯/艾伦·阿金/苏珊·布洛马特/约翰·戴维森/布莱恩·拉肯/Victoria Price/Stuart Lancaster/Gina Gallagher/阿隆·鲁斯汀/阿兰·弗吉/史蒂文·布里尔/Peter Palmer/马克·麦考利/唐娜·派洛尼/Ken DeVaul/Kathy Dombo/Tabetha Thomas/尼克·卡特,剧情/爱情/奇幻,美国, 英语,1990-12-06(美国),105分钟,8.7,1069043,48.4%/39.8%/10.7%/0.8%/0.2%
幽灵公主 もののけ姫,(1997),宫崎骏,宫崎骏,松田洋治/石田百合子/田中裕子/小林薰/西村雅彦/上条恒彦/岛本须美/渡边哲/佐藤允/名古屋章/美轮明宏/森光子/森繁久弥,动画/奇幻/冒险,日本, 日语,1997-07-12(日本),134分钟,8.9,551312,56.3%/34.9%/8.1%/0.5%/0.1%
勇敢的心 Braveheart,(1995),梅尔·吉布森,兰道尔·华莱士,梅尔·吉布森/苏菲·玛索/布莱恩·考克斯/詹姆斯·科兹莫/辛·劳洛/凯瑟琳·麦克马克/安古斯·麦克菲登,剧情/动作/传记/历史/战争,美国, 英语 / 法语 / 拉丁语 / 苏格兰盖尔语,1995-05-18(西雅图电影节)/1995-05-24(美国),178分钟,8.9,575694,56.4%/34.1%/8.6%/0.7%/0.2%
寄生虫 기생충,(2019),奉俊昊,奉俊昊/韩珍元,宋康昊/李善均/曹汝贞/崔宇植/朴素丹/李姃垠/张慧珍/郑知晓/朴明勋/朴叙俊/朴根禄/郑贤俊/朴孝新/安德烈亚斯·弗龙克,剧情,韩国, 韩语 / 英语,2019-05-21(戛纳电影节)/2019-05-30(韩国),132分钟,8.8,1437493,49.9%/41.3%/8.0%/0.6%/0.3%
爱在日落黄昏时 Before Sunset,(2004),理查德·林克莱特,理查德·林克莱特/朱莉·德尔佩/伊桑·霍克/金·克里桑,伊桑·霍克/朱莉·德尔佩/弗农·多布切夫/路易丝·勒莫瓦纳·托雷斯/罗多尔·保利/玛丽安·普莱施泰格/迪亚博洛/丹尼·弗拉/艾伯特·德尔佩/玛丽·佩里,剧情/爱情,美国/法国, 英语 / 法语,2004-02-10(柏林电影节)/2004-07-30(美国),80 分钟,8.9,593764,56.2%/34.0%/8.7%/0.8%/0.3%
菊次郎的夏天 菊次郎の夏,(1999),北野武,北野武,北野武/关口雄介/岸本加世子/吉行和子/细川典江/大家由祐子/磨赤儿/铃木忠幸/井手博士/今村鼠/兼子二郎/田中要次/小岛可奈子,剧情/喜剧,日本, 日语,2020-09-25(中国大陆)/1999-05-20(戛纳电影节)/1999-06-05(日本),121分钟,8.9,624773,54.5%/35.9%/8.6%/0.8%/0.2%
借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,(2010),米林宏昌,宫崎骏/丹羽圭子/玛丽·诺顿,志田未来/神木隆之介/树木希林/三浦友和/大竹忍/竹下景子/藤原龙也,动画/奇幻/冒险,日本, 日语,2010-07-17(日本),94分钟,8.9,582457,54.1%/37.6%/7.9%/0.4%/0.1%
消失的爱人 Gone Girl,(2014),大卫·芬奇,吉莉安·弗琳,本·阿弗莱克/裴淳华/尼尔·帕特里克·哈里斯/凯莉·库恩/泰勒·派瑞/金·迪肯斯/米西·派勒/波伊德·霍布鲁克/艾米丽·拉塔科斯基/雪拉·渥德/派屈克·福吉特/斯科特·麦克纳里/凯西·威尔逊/李·诺里斯,剧情/悬疑/惊悚/犯罪,美国, 英语,2014-09-26(纽约电影节)/2014-10-03(美国),149分钟,8.7,1001588,47.7%/42.7%/8.8%/0.6%/0.2%
无人知晓 誰も知らない,(2004),是枝裕和,是枝裕和,柳乐优弥/北浦爱/木村飞影/清水萌萌子/韩英惠/江原由希子/串田和美/冈元夕纪子/楯隆子/加濑亮/村野友希/田中庆太/木村佑一/远藤宪一/寺岛进/平泉成,剧情,日本, 日语,2004-05-13(戛纳电影节)/2004-08-07(日本),141分钟,9.1,340112,62.5%/31.9%/5.0%/0.4%/0.2%
未麻的部屋 Perfect Blue,(1997),今敏,村井贞之/竹内义和,岩男润子/松本梨香/辻亲八/大仓正章/秋元羊介/盐屋翼/堀秀行/筱原惠美/江原正士/梁田清之/古泽彻/新山志保/古川惠实子/原亚弥/三木真一郎/山野井仁/田野惠/长嶝高士/陶山章央/细井治/远近孝一/本井英美/保志总一朗/谷山纪章/北野诚/南香织/商店一野,动画/惊悚/奇幻,日本, 日语,1997-08-05(加拿大奇幻电影节)/1998-02-28(日本),81 分钟,9.1,369909,62.1%/31.0%/6.1%/0.5%/0.2%
阳光灿烂的日子,(1994),姜文,姜文/王朔,夏雨/宁静/陶虹/耿乐/斯琴高娃/冯小刚/刘小宁/姜文/王学圻/王朔/尚楠/方化/代少波/王海/姚二嘎/吴淑昆/左小青/韩冬/孙靖/刘斌/张维/杨彤林/王海/王福/胡贝贝/高保成/吴淑琨/张华/二勇/烈子/陈伟,剧情/爱情,中国大陆/中国香港, 汉语普通话,1995-08-21(中国大陆)/1995-06-28(中国香港)/1994-09-09(威尼斯电影节),134分钟(中国大陆),8.8,642200,52.7%/38.0%/8.5%/0.6%/0.2%
时空恋旅人 About Time,(2013),理查德·柯蒂斯,理查德·柯蒂斯,多姆纳尔·格里森/瑞秋·麦克亚当斯/比尔·奈伊/莉迪亚·威尔逊/琳赛·邓肯/理查德·科德里/约书亚·麦圭尔/汤姆·霍兰德尔/玛格特·罗比/维尔·梅里克/凡妮莎·柯比/汤姆·休斯/哈利·海顿-佩顿/米切尔·马伦/丽莎·艾科恩/珍妮·莱恩斯福德/菲利普-沃斯/凯瑟琳·斯戴曼/汤姆·斯托顿/安部春香/李·阿斯奎斯-柯/理查德·班克斯/保罗·布莱克维尔/贝恩·科拉科/格拉姆·柯里/罗薇娜·戴蒙德/约翰·达根/迪诺·法赞尼/内芙·加切夫/理查德·E·格兰特/理查德·格雷弗斯/李·尼古拉斯·哈里斯/理查德·赫德曼/李仙湖/马修·C·马蒂诺/马汀·麦格/艾莉克丝·摩尔,喜剧/爱情/奇幻,英国/美国, 英语,2013-09-04(英国),123分钟,8.8,716372,52.6%/36.5%/9.9%/0.8%/0.2%
完美的世界 A Perfect World,(1993),克林特·伊斯特伍德,约翰·李·汉考克,凯文·科斯特纳/劳拉·邓恩/克林特·伊斯特伍德/T·J·劳瑟/基斯·斯扎拉巴基克,剧情/犯罪,美国, 英语,1993-11-24(美国),138分钟,9.1,332086,63.6%/30.3%/5.5%/0.5%/0.2%
倩女幽魂,(1987),程小东,阮继志,张国荣/王祖贤/午马/刘兆铭/林威/薛芷伦/胡大为/王晶,爱情/奇幻/武侠/古装,中国香港, 粤语,2011-04-30(中国大陆)/1987-07-18(中国香港),96分钟,8.8,768765,49.2%/41.1%/9.2%/0.4%/0.1%
天使爱美丽 Le Fabuleux destin d'Amélie Poulain,(2001),让-皮埃尔·热内,纪尧姆·洛朗/让-皮埃尔·热内,奥黛丽·塔图/马修·卡索维茨/吕菲斯/洛莱拉·克拉沃塔/塞尔·梅林/贾梅尔·杜布兹/克洛蒂尔德·莫莱特/克莱尔·莫里耶/伊莎贝尔·南蒂/多米尼克·皮侬/阿尔蒂斯·德·彭居埃恩/友兰达·梦露/于尔班·康塞利埃/莫里斯·贝尼舒/米歇尔·罗班/安德烈·达芒/克洛德·佩隆/阿尔梅尔/迪基·奥尔加多/凯文·迪亚士/弗洛拉·吉耶/阿莫里·巴博尔/欧仁·贝蒂埃/让·达里/马克·阿米约,剧情/喜剧/爱情,法国/德国, 法语 / 俄语,2001-04-25(法国)/2001-08-16(德国),122分钟,8.7,978944,50.1%/36.7%/11.7%/1.2%/0.3%
小森林 夏秋篇 リトル・フォレスト 夏・秋,(2014),森淳一,森淳一/五十岚大介,桥本爱/三浦贵大/松冈茉优/温水洋一/桐岛加恋,剧情,日本, 日语,2014-08-30(日本),111分钟,9.0,442554,59.3%/32.5%/7.4%/0.6%/0.2%
哈利·波特与火焰杯 Harry Potter and the Goblet of Fire,(2005),迈克·内威尔,史蒂夫·克洛夫斯/J·K·罗琳,丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特/迈克尔·刚本/玛吉·史密斯/汤姆·费尔顿/蒂莫西·斯波/罗伯特·帕丁森/梁佩诗/大卫·田纳特/马克·威廉姆斯/埃里克·赛克斯/詹姆斯·菲尔普斯/奥利弗·菲尔普斯/邦妮·怀特/克蕾曼丝·波西/加里·奥德曼/杰夫·劳勒/詹森·艾萨克/斯坦尼斯拉夫·雅涅夫斯基/罗伯特·哈迪/阿什莉·阿尔图斯/亚历克斯·帕尔墨/罗格·洛伊德-派克/希拉·艾伦/Su Elliot/大卫·斯特恩/玛格里·梅森/马修·刘易斯/罗彼·考特拉尼/威廉姆·麦灵/大卫·布拉德利/戴文·穆雷/艾芙珊·阿扎德/沃维克·戴维斯/弗朗西斯·德·拉·图瓦/谢发丽·裘德胡里/安吉拉珂·曼蒂/艾伦·瑞克曼/普里德拉格·比耶拉克/Tolga Safer/布莱丹·格里森/阿尔弗雷德·伊诺奇/路易·多伊尔/杰米·威莱特/乔什·赫德曼/夏洛特·斯凯奇/米兰达·理查森/罗伯特·威尔福特/Tiana Benjamin/亨利·劳埃德-休斯/贾维斯·考科尔/强尼·格林伍德/菲尔·塞尔维/史蒂夫·麦基/Jason Buckle/Steve Claydon/雪莉·亨德森/拉尔夫·费因斯/阿德里安·劳林斯/杰拉丁·萨莫维尔/拉斯科·阿特金斯/Jack Bagley/葛蕾·贝拉玛西娜/Paul Davies/Barry Dowden/Natalie Hallam,悬疑/奇幻/冒险,英国/美国, 英语 / 法语,2005-11-18(中国大陆)/2005-11-06(英国),157 分钟,8.8,705288,51.3%/38.2%/9.8%/0.6%/0.1%
侧耳倾听 耳をすませば,(1995),近藤喜文,宫崎骏/柊葵,本名阳子/小林桂树/高山南/高桥一生/山下容莉枝/室井滋/露口茂/饭冢雅弓,剧情/爱情/动画,日本, 日语 / 英语,1995-07-15(日本),111分钟,8.9,486807,56.3%/34.9%/8.2%/0.5%/0.1%
驯龙高手 How to Train Your Dragon,(2010),迪恩·德布洛斯,威廉姆·戴维斯/迪恩·德布洛斯/克里斯·桑德斯/葛蕾熙达·柯维尔,杰伊·巴鲁切尔/杰拉德·巴特勒/克雷格·费格森/亚美莉卡·费雷拉/乔纳·希尔/克里斯托夫·梅兹-普莱瑟/T·J·米勒/克里斯汀·韦格/罗宾·阿特金·唐斯/菲利普·麦格雷德/基隆·埃利奥特/阿什利·詹森/大卫·田纳特,动画/奇幻/冒险,美国, 英语,2010-05-14(中国大陆)/2010-03-18(俄罗斯)/2010-03-26(美国),98分钟,8.8,791751,49.1%/40.9%/9.4%/0.4%/0.1%
幸福终点站 The Terminal,(2004),史蒂文·斯皮尔伯格,安德鲁·尼科尔/萨沙·杰瓦西 /杰夫·内桑森,汤姆·汉克斯/凯瑟琳·泽塔-琼斯/斯坦利·图齐/齐·麦克布赖德/迭戈·卢纳/巴里·沙巴卡·亨利/库玛·帕拉纳/佐伊·索尔达娜/埃迪·琼斯/祖德·塞克利拉/科瑞·雷诺兹/吉列尔莫·迪亚兹/里尼·贝尔/瓦列里·尼古拉耶夫/迈克尔·诺里/鲍勃·莫里西/萨沙·斯皮尔伯格/苏珊·索洛米/卡尔利斯·布克/斯蒂芬·富勒/丹·芬纳蒂/莉迪亚·布兰科/肯尼斯·崔/卡斯·安瓦尔/康拉德·皮拉/杜桑恩·杜基齐/马克·伊瓦涅/Benny Golson/斯科特·安第斯/罗伯特·科瓦吕比亚/Dilva Henry/卡尔艾拉切/哈亚提·阿克巴斯/艾力克斯·伯恩斯/埃莱娜·卡多纳/Dan Chase/查得·R·戴维斯/安东内拉·埃莉亚/Michael Eliopoulos/马斯顿·福布斯/Riad Galayini/杰拉德·加纳/贾斯汀·罗杰斯豪尔/穆罕默德·哈桑/Amber Havens/Ksenia Jarova/巴里·朱利安/Svilena Kidess/Zuzana Monroe/艾丽西亚·奥奇瑟/本杰明·奥切恩格,剧情/喜剧/爱情,美国, 英语 / 保加利亚语 / 西班牙语 / 俄语 / 汉语普通话 / 德语 / 法语,2005-01-14(中国大陆)/2004-06-18(美国),128分钟,8.8,598334,52.2%/38.7%/8.4%/0.6%/0.1%
一个叫欧维的男人决定去死 En man som heter Ove,(2015),汉内斯·赫尔姆,汉内斯·赫尔姆/弗雷德里克·巴克曼,罗夫·拉斯加德/巴哈·帕斯/托比亚斯·阿姆博瑞/菲利普·伯格/安娜-莱娜·布伦丁/博瑞·伦贝里/埃达·英格薇/弗雷德里克·埃弗斯/玛德琳·雅各布松/查特里娜·拉松/杰克尔·法尔斯特伦,剧情,瑞典, 瑞典语 / 波斯语,2015-12-25(瑞典),116分钟,8.9,513617,54.3%/37.6%/7.5%/0.5%/0.1%
教父3 The Godfather: Part III,(1990),弗朗西斯·福特·科波拉,马里奥·普佐/弗朗西斯·福特·科波拉,阿尔·帕西诺/黛安·基顿/塔莉娅·夏尔/安迪·加西亚/埃里·瓦拉赫/乔·曼特纳/乔治·汉密尔顿/布里吉特·方达/索菲亚·科波拉/雷夫·瓦朗/弗兰克·德安布罗西奥/敦尔·当纳利/理查德·布赖特/赫尔穆特·贝格/唐·诺韦洛,剧情/犯罪,美国, 英语 / 意大利语 / 德语 / 拉丁语,1990-12-25(美国),162分钟,9.0,395287,59.9%/32.1%/7.3%/0.5%/0.2%
"怪兽电力公司 Monsters, Inc.",(2001),彼特·道格特,安德鲁·斯坦顿/丹尼尔·吉尔森/罗伯特·L·贝尔德/瑞特·里斯/乔纳森·罗伯特 /彼特·道格特/杰夫·皮金/吉尔·卡尔顿/拉夫·埃格尔斯顿,约翰·古德曼/比利·克里斯托/玛丽·吉布斯/史蒂夫·布西密/詹姆斯·柯本/詹妮弗·提莉/鲍勃·彼德森/约翰·拉森贝格/弗兰克·奥兹/丹尼尔·吉尔森/邦尼·亨特/杰克·安杰尔/塞缪尔·洛德·布莱克/史蒂夫·萨斯坎德,喜剧/动画/儿童/奇幻/冒险,美国, 英语,2001-11-02(美国)/2012-12-19(美国),92分钟,8.8,709647,49.3%/41.0%/9.2%/0.4%/0.1%
茶馆,(1982),谢添,老舍,于是之/郑榕/蓝天野/英若诚/黄宗洛/童超/金昭/林连昆/牛星丽/谭宗尧/童弟/吴淑昆/胡宗温/程中/李大千/李源/李翔/张瞳/任宝贤/尚丽娟/米铁增/田春奎/冯增祥/雷飞/林东升/孟瑾/孙峻峰/平原/曹世骧/王大年/王淑华/张华/丁海涛/朱旭/孙敬修/曹孟浪/何康理,剧情/历史,中国大陆, 汉语普通话,1982(中国大陆),118分钟,9.6,168047,80.8%/16.7%/2.3%/0.2%/0.1%
新世界 신세계,(2013),朴勋政,朴勋政,李政宰/崔岷植/黄政民/宋智孝/朴成雄/金秉玉/金胤成,剧情/犯罪,韩国, 韩语 / 汉语普通话,2013-02-21(韩国),134分钟,8.9,472980,55.3%/36.6%/7.5%/0.5%/0.2%
傲慢与偏见 Pride & Prejudice,(2005),乔·赖特,简·奥斯汀/黛博拉·莫盖茨,凯拉·奈特莉/马修·麦克费登/唐纳德·萨瑟兰/布兰达·布莱斯/凯瑞·穆里根/裴淳华/吉娜·马隆/妲露拉·莱莉/朱迪·丹奇/西蒙·伍兹/克劳迪·布莱克利/汤姆·霍兰德尔/鲁伯特·弗兰德/凯利·蕾莉/皮普·托伦斯/西妮德·马修斯/佩内洛普·威尔顿/塔姆金·莫钦特,剧情/爱情,法国/英国/美国, 英语,2005-09-16(英国),129 分钟,8.7,844341,48.5%/40.0%/10.5%/0.8%/0.2%
玩具总动员3 Toy Story 3,(2010),李·昂克里奇,迈克尔·阿恩特/约翰·拉塞特/安德鲁·斯坦顿/李·昂克里奇,汤姆·汉克斯/蒂姆·艾伦/琼·库萨克/尼德·巴蒂/唐·里克斯/迈克尔·基顿,喜剧/动画/奇幻/冒险,美国, 英语 / 西班牙语,2010-06-16(中国大陆)/2010-06-18(美国),103分钟,8.9,545870,55.2%/35.6%/8.7%/0.4%/0.1%
小森林 冬春篇 リトル・フォレスト 冬・春,(2015),森淳一,森淳一/五十岚大介,桥本爱/三浦贵大/松冈茉优/温水洋一/桐岛加恋,剧情,日本, 日语,2015-02-14(日本),120分钟,9.0,394486,60.3%/32.0%/6.9%/0.5%/0.2%
萤火之森 蛍火の杜へ,(2011),大森贵弘,绿川幸,佐仓绫音/内山昂辉/辻亲八/山本兼平/后藤弘树/今井麻美,剧情/爱情/动画/奇幻,日本, 日语,2011-09-17(日本),45分钟,8.9,566355,54.8%/34.2%/9.8%/0.9%/0.3%
被解救的姜戈 Django Unchained,(2012),昆汀·塔伦蒂诺,昆汀·塔伦蒂诺,杰米·福克斯/莱昂纳多·迪卡普里奥/克里斯托弗·瓦尔兹/塞缪尔·杰克逊/凯丽·华盛顿/沃尔顿·戈金斯/丹尼斯·克里斯托弗/乔纳·希尔/詹姆斯·瑞马尔/爱波·塔布琳/弗兰科·内罗/罗伯特·卡拉丁/佐伊·贝尔,剧情/动作/西部/冒险,美国, 英语 / 法语 / 德语,2013-05-12(中国大陆)/2012-12-25(美国),163分钟(中国大陆),8.8,638913,51.4%/39.3%/8.5%/0.6%/0.2%
釜山行 부산행,(2016),延尚昊,延尚昊,孔刘/郑有美/马东锡/金秀安/金义城/崔宇植/安昭熙/崔奎华/郑锡勇/芮秀贞/朴明申/张赫镇/禹都临/沈恩敬,动作/惊悚/灾难,韩国, 韩语,2016-05-13(戛纳电影节)/2016-07-20(韩国),118分钟,8.6,1255199,43.7%/44.2%/10.9%/0.8%/0.3%
神偷奶爸 Despicable Me,(2010),皮埃尔·柯芬,肯·道里欧/塞尔希奥·巴勃罗斯/辛科·保罗,史蒂夫·卡瑞尔/杰森·席格尔/拉塞尔·布兰德/朱莉·安德鲁斯/威尔·阿奈特/克里斯汀·韦格/米兰达·卡斯格拉夫/达纳·盖尔/艾尔西·费舍尔/皮埃尔·柯芬/克里斯·雷纳德/杰梅奈·克莱门特/杰克·麦克布瑞尔/丹尼·麦克布莱德/敏迪·卡灵/罗布·许贝尔/肯·道里欧/郑肯,喜剧/动画/冒险,美国/法国, 英语,2010-06-20(莫斯科电影节)/2010-07-09(美国),95分钟,8.7,982792,45.2%/43.6%/10.6%/0.5%/0.1%
色，戒,(2007),李安,王蕙玲/詹姆斯·夏慕斯/张爱玲,梁朝伟/汤唯/陈冲/王力宏/庹宗华/朱芷莹/高英轩/柯宇纶/阮德锵/钱嘉乐/苏岩/何赛飞/宋茹惠/樊光耀/卢燕/刘洁/余娅/王琳/王侃/竹下明子/阿努潘·凯尔,剧情/爱情/情色,中国台湾/中国大陆/美国/中国香港, 汉语普通话 / 上海话 / 英语 / 粤语 / 日语 / 印地语,2007-11-01(中国大陆)/2007-09-24(中国台湾)/2007-09-26(中国香港)/2007-08-30(威尼斯电影节)/2007-10-26(美国),158分钟,8.7,868107,48.2%/39.5%/11.2%/0.8%/0.3%
九品芝麻官,(1994),王晶,[佚名],周星驰/吴孟达/张敏/徐锦江/钟丽缇/蔡少芬/吴启华/邹兆龙/梁荣忠/黄一飞/苑琼丹/刘洵/黄一山,剧情/喜剧/古装,中国香港/中国大陆, 粤语,1994-03-31(中国香港),108分钟,8.7,722535,47.8%/42.0%/9.6%/0.4%/0.1%
哪吒闹海,(1979),王树忱,王树忱,梁正晖/邱岳峰/毕克/富润生/尚华/于鼎,动画/奇幻/冒险,中国大陆, 汉语普通话,1979-05-19(中国大陆),65分钟,9.2,273391,65.8%/27.6%/6.0%/0.4%/0.1%
告白,(2010),中岛哲也,中岛哲也/凑佳苗,松隆子/冈田将生/木村佳乃/西井幸人/桥本爱/芦田爱菜/三吉彩花/藤原薰/井之胁海/清水尚弥/高桥努/一井直树/能年玲奈/新井浩文/野本萤,剧情/悬疑,日本, 日语,2010-06-05(日本),106分钟,8.8,696976,51.7%/37.2%/9.5%/1.1%/0.5%
玛丽和马克思 Mary and Max,(2009),亚当·艾略特,亚当·艾略特,托妮·科莱特/菲利普·塞默·霍夫曼/巴瑞·哈姆弗莱斯/艾瑞克·巴纳/贝塔尼·维特莫尔/蕾妮·盖耶/伊恩·莫利·梅尔德伦/朱莉·福塞斯/约翰·弗劳思/克里斯托弗·马西/卡罗琳·莎士比亚-艾伦/琳恩·史密斯/迈克尔·延纳,剧情/喜剧/动画,澳大利亚/美国, 英语 / 意第绪语,2009-01-15(圣丹斯电影节)/2009-04-09(澳大利亚),92分钟,9.0,433741,57.8%/33.2%/8.0%/0.7%/0.2%
喜宴 囍宴,(1993),李安,李安/冯光远/詹姆斯·夏慕斯,赵文瑄/归亚蕾/郎雄/金素梅/米切尔·利希藤斯坦/迈克尔·加斯顿/许永德/尼尔·哈夫/李淳/汉娜·沙利文/杨元提/姚培德/李安,剧情/喜剧/爱情/同性/家庭,中国台湾/美国, 汉语普通话 / 英语,1993-02(柏林电影节)/1993-08-04(美国),108分钟,9.0,387426,55.9%/37.8%/5.8%/0.3%/0.2%
大鱼 Big Fish,(2003),蒂姆·波顿,Daniel Wallace/约翰·奥古斯特,伊万·麦克格雷格/阿尔伯特·芬尼/比利·克鲁德普/杰西卡·兰格/海伦娜·伯翰·卡特/艾莉森·洛曼/罗伯特·吉尔劳姆/玛丽昂·歌迪亚/马修·麦克格罗里/大卫·丹曼/米西·派勒/卢顿·万恩怀特三世/艾达·泰/艾伦妮·泰/史蒂夫·布西密/丹尼·德维托/迪普·罗伊/海利·安妮·内尔森,剧情/家庭/奇幻/冒险,美国, 英语 / 法语 / 俄语 / 粤语 / 汉语普通话,2003-12-04(纽约首映)/2004-01-09(美国),125 分钟,8.8,590745,51.9%/37.2%/9.8%/0.9%/0.3%
模仿游戏 The Imitation Game,(2014),莫滕·泰杜姆,格拉汉姆·摩尔/安德鲁·霍奇斯,本尼迪克特·康伯巴奇/凯拉·奈特莉/马修·古迪/罗里·金尼尔/艾伦·里奇/马修·比尔德/查尔斯·丹斯/马克·斯特朗/詹姆斯·诺斯科特/汤姆·古德曼-希尔/史蒂芬·威丁顿/伊兰·古德曼/杰克·塔尔登/埃里克斯·劳瑟/杰克·巴农/塔彭丝·米德尔顿/安德鲁·哈维尔/维尔·博登/李·阿斯奎斯-柯/海莉·乔安妮·培根/安库塔·布雷班/格雷斯·卡尔德/理查德·坎贝尔/温斯顿·丘吉尔/克里斯·考林/汉娜·弗林/卢克·霍普/斯图尔特·马修斯/亚当·诺威尔/哈里·S·杜鲁门,剧情/同性/传记/战争,英国/美国, 英语 / 德语,2015-07-21(中国大陆)/2014-08-29(特柳赖德电影节)/2014-11-14(英国)/2014-12-25(美国),114分钟,8.8,676431,49.0%/41.3%/9.1%/0.5%/0.1%
头脑特工队 Inside Out,(2015),彼特·道格特,彼特·道格特/罗纳尔多·德尔·卡门/梅格·勒福夫/乔什·库雷/迈克尔·阿恩特/西蒙·里奇/鲍勃·彼德森/比尔·哈德尔/艾米·波勒,艾米·波勒/菲利丝·史密斯/理查德·坎德/比尔·哈德尔/刘易斯·布莱克/敏迪·卡灵/凯特林·迪亚斯/戴安·琳恩/凯尔·麦克拉克伦/波拉·庞德斯通/鲍比·莫尼汉/保拉·佩尔/大卫·戈尔兹/弗兰克·奥兹/乔什·库雷/弗利/约翰·拉森贝格/卡洛斯·阿拉斯拉奇/皮特·萨加尔/拉什达·琼斯/罗里·艾伦/约翰·齐甘/雪莉·琳恩/拉瑞恩·纽曼/帕丽斯·冯·戴克,喜剧/动画/冒险,美国, 英语,2015-10-06(中国大陆)/2015-06-19(美国),95分钟,8.8,654107,52.2%/36.6%/10.3%/0.8%/0.2%
头号玩家 Ready Player One,(2018),史蒂文·斯皮尔伯格,扎克·佩恩/恩斯特·克莱恩,泰伊·谢里丹/奥利维亚·库克/本·门德尔森/马克·里朗斯/丽娜·维特/森崎温/赵家正/西蒙·佩吉/T·J·米勒/汉娜·乔恩-卡门/拉尔夫·伊内森/苏珊·林奇/克莱尔·希金斯/劳伦斯·斯佩尔曼/佩蒂塔·维克斯/艾萨克·安德鲁斯,动作/科幻/冒险,美国, 英语 / 日语 / 汉语普通话,2018-03-30(中国大陆)/2018-03-11(西南偏南电影节)/2018-03-29(美国),140分钟,8.6,1421545,48.3%/37.9%/12.1%/1.3%/0.4%
花样年华 花樣年華,(2000),王家卫,王家卫,梁朝伟/张曼玉/潘迪华/萧炳林/张耀扬/孙佳君/钱似莺/顾锦华,剧情/爱情,中国香港, 粤语 / 上海话 / 法语,2000-09-29(中国香港)/2000-05-20(戛纳电影节),98分钟,8.8,646798,49.2%/40.4%/9.5%/0.7%/0.2%
射雕英雄传之东成西就 射鵰英雄傳之東成西就,(1993),刘镇伟,刘镇伟,梁朝伟/林青霞/张国荣/叶玉卿/张学友/王祖贤/张曼玉/梁家辉/刘嘉玲/钟镇涛/鲍起静,喜剧/奇幻/武侠/古装,中国香港, 粤语,1993-02-05(中国香港),113分钟(香港),8.7,668638,53.2%/33.1%/11.4%/1.6%/0.6%
七武士 七人の侍,(1954),黑泽明,黑泽明/桥本忍/小国英雄,三船敏郎/志村乔/津岛惠子/岛崎雪子/藤原釜足/加东大介/木村功/千秋实/宫口精二/小杉义男/左卜全/稻叶义男/土屋嘉男/高堂国典/东野英治郎/上田吉二郎/多多良纯/渡边笃/小川虎之助/山形勋/上山草人/清水元/高木新平/大友伸/高原骏雄/稻垣三郎/堺左千夫/千石规子/本间文子/大久保正信/伊藤实/大村千吉/广濑正一/宇野晃司/谷晃/中岛春雄/清水美恵/熊谷卓三/夏木顺平/岩本弘司/堤康久/马野都留子/森今日子/加藤武/仲代达矢/宇津井健/山本廉,剧情/动作/冒险,日本, 日语,1954-04-26(日本),207分钟,9.3,209397,71.2%/23.6%/4.5%/0.4%/0.3%
我是山姆 I Am Sam,(2001),杰茜·尼尔森,杰茜·尼尔森/克里斯汀·约翰逊,西恩·潘/达科塔·范宁/米歇尔·菲佛/黛安·韦斯特/洛雷塔·迪瓦恩/理查德·希夫/劳拉·邓恩,剧情/家庭,美国, 英语,2001-12-03(美国),132 分钟,9.0,352703,57.7%/34.6%/7.1%/0.5%/0.2%
血战钢锯岭 Hacksaw Ridge,(2016),梅尔·吉布森,安德鲁·奈特/罗伯特·申坎,安德鲁·加菲尔德/萨姆·沃辛顿/文斯·沃恩/雨果·维文/卢克·布雷西/泰莉莎·帕尔墨/瑞切尔·格里菲斯/内森奈尔·布佐里克/理查德·劳斯伯格/马特·纳夫莱/费拉斯·迪拉尼/瑞安·柯尔/卢克·佩格勒,剧情/传记/历史/战争,澳大利亚/美国, 英语 / 日语,2016-12-08(中国大陆)/2016-09-04(威尼斯电影节)/2016-11-04(美国),139分钟(中国大陆),8.7,810583,46.5%/41.6%/10.8%/0.9%/0.2%
